Game,Publisher,TotalSales,NASales,PALSales,JPSales,OtherSales,ReleaseDate,LinkToPage
Tekken 3,Namco,7.16m,3.27m,2.22m,1.40m,0.29m,29th Apr 98,https://www.vgchartz.com/games/game.php?id=2344&region=All
Pokémon: Ultra Sun and Ultra Moon,Nintendo,7.15m,2.46m,1.74m,2.55m,0.40m,17th Nov 17,https://www.vgchartz.com/games/game.php?id=181292&region=All
Crash Bandicoot 3: Warped,Sony Computer Entertainment,7.13m,3.68m,1.75m,1.42m,0.28m,31st Oct 98,https://www.vgchartz.com/games/game.php?id=408&region=All
Super Smash Bros. Melee,Nintendo,7.07m,4.41m,1.04m,1.39m,0.22m,02nd Dec 01,https://www.vgchartz.com/games/game.php?id=2291&region=All
Splatoon 2,Nintendo,7.04m,1.90m,1.80m,3.01m,0.34m,21st Jul 17,https://www.vgchartz.com/games/game.php?id=153120&region=All
Mario Kart: Double Dash!!,Nintendo,6.95m,4.12m,1.77m,0.87m,0.19m,17th Nov 03,https://www.vgchartz.com/games/game.php?id=1255&region=All
Need for Speed Underground 2,Electronic Arts,6.90m,2.71m,3.02m,0.08m,1.09m,15th Nov 04,https://www.vgchartz.com/games/game.php?id=5494&region=All
Just Dance 4,Ubisoft,6.89m,4.05m,2.21m,N/A,0.62m,09th Oct 12,https://www.vgchartz.com/games/game.php?id=70917&region=All
Uncharted 3: Drake's Deception,Sony Computer Entertainment,6.84m,2.77m,2.81m,0.19m,1.06m,01st Nov 11,https://www.vgchartz.com/games/game.php?id=49054&region=All
Medal of Honor: Frontline,Electronic Arts,6.83m,2.93m,2.75m,0.17m,0.99m,28th May 02,https://www.vgchartz.com/games/game.php?id=6334&region=All
Crash Bandicoot,Sony Computer Entertainment,6.82m,3.23m,2.35m,0.94m,0.30m,01st Sep 96,https://www.vgchartz.com/games/game.php?id=406&region=All
The Last of Us Remastered,Sony Computer Entertainment,6.77m,2.70m,2.86m,0.11m,1.10m,29th Jul 14,https://www.vgchartz.com/games/game.php?id=80977&region=All
Zumba Fitness,Majesco,6.76m,3.47m,2.62m,N/A,0.67m,18th Nov 10,https://www.vgchartz.com/games/game.php?id=47163&region=All
Gears of War 2,Microsoft Game Studios,6.75m,4.15m,1.91m,0.06m,0.64m,07th Nov 08,https://www.vgchartz.com/games/game.php?id=16548&region=All
Uncharted 2: Among Thieves,Sony Computer Entertainment,6.74m,3.28m,2.22m,0.21m,1.02m,13th Oct 09,https://www.vgchartz.com/games/game.php?id=28733&region=All
